1424.46 9323442
1405.71 9360000
1415.65 9090000
1405.86 9210000
1407.44 9265281
1425.44 9556452
1411.97 9055476
1408.94 9210000
1417.08 9090000
1405.11 9480000
1410.64 9150000
1404.44 9540000
1405.14 9330000
1412.04 9378732
1450.44 9341892
1418.28 9348176
1419.55 9480000
1409.42 9312813
1457.84 9330000
1407.76 9360000
1406.46 9210000
1405.54 8910000
1421.01 9090000
1451.44 9180000
1410.48 9270000
1417.97 8820000
1422.68 9210000
1410.53 9450000
1405.98 8672193
1408.09 9120000
1418.22 9270000
1405.91 8640000
1532.15 8924778
1418.72 9335716
1406.19 9390000
1406.01 9390000
1413.36 9480000
1535.51 9630000
1406.11 9240000
1414.46 9600000
1467.09 9693230
1439.28 9186662
1410.05 9150000
1420.04 9240000
1509.33 9450000
1406.47 9390000
1436.49 9330000
1451.90 8940000
1406.62 9159772
1422.23 9120000
1407.70 9090725
1416.56 9060000
1407.18 9069831
1476.81 9401414
1407.30 9280696
1431.68 8820000
1407.79 9090000
1434.86 8850000
1468.21 9150000
1417.55 9480000
1561.82 9270000
1438.89 8880000
1410.12 9210000
1415.25 8730000
