1 0.417 0.012 0.571
2 0.3055 0.1215 0.573
3 0.24425 0.075 0.68075
4 0.23 0.046 0.724
5 0.269 0.105 0.626
6 0.1835 0.1255 0.691
7 0.2895 0.063 0.6475
8 0.5 0.0875 0.4125
9 0.379 0.0735 0.5475
10 0.172 0.091 0.737
11 0.2365 0.073 0.6905
12 0.24 0.172 0.588
13 0.098 0.117 0.785
14 0.2665 0.1235 0.61
15 0.284 0.056 0.66
16 0.3135 0.047 0.6395
17 0.388 0.0795 0.5325
18 0.0455 0 0.9545
19 0.3745 0.133 0.4925
20 0.007 0.5 0.493
21 0.116 0 0.884
22 0.3275 0.0755 0.597
23 0.361 0.2805 0.3585
24 0.283 0.052 0.665
25 0.2455 0.0485 0.706
26 0.275 0.079 0.646
27 0.2965 0.029 0.6745
28 0.4925 0.084 0.4235
29 0.4925 0.092 0.4155
30 0.3295 0.058 0.6125
31 0.1435 0.0235 0.833
32 0.476 0.0735 0.4505
33 0.316 0.106 0.578
34 0.0355 0 0.9645
35 0.1425 0.081 0.7765
36 0.056 0.132 0.812
37 0.0855 0.153 0.7615
38 0.14 0.037 0.823
39 0.343 0.1535 0.5035
40 0.314 0.0885 0.5975
41 0.1195 0 0.8805
42 0.203 0.103 0.694
43 0.2925 0.047 0.6605
44 0.0385 0 0.9615
45 0.279 0.0775 0.6435
46 0.255 0 0.745
47 0.1045 0 0.8955
48 0.304 0.0645 0.6315
49 0.174 0.1895 0.6365
50 0.419 0.0375 0.5435
51 0.184 0.1745 0.6415
52 0.005 0 0.995
53 0.2765 0.086 0.6375
54 0.393 0.0945 0.5125
55 0.348 0.124 0.528
56 0.369 0.1185 0.5125
57 0.31 0.0345 0.6555
58 0.2995 0.098 0.6025
59 0.218 0.1065 0.6755
60 0.3095 0.059 0.6315
61 0.3885 0.042 0.5695
62 0.2695 0.015 0.7155
63 0.484 0.109 0.407
64 0.116 0.072 0.812
65 0.264 0.0615 0.6745
66 0.2615 0.062 0.6765
67 0.231 0.1265 0.6425
68 0.132 0.1065 0.7615
69 0.416 0.083 0.501
70 0.2705 0.156 0.5735
71 0.276 0.055 0.669
72 0.1545 0.0035 0.842
73 0.3285 0.0725 0.599
74 0.265 0 0.735
75 0.1155 0 0.8845
76 0.175 0.04 0.785
77 0.287 0.1655 0.5475
78 0.303 0.0575 0.6395
79 0.184 0.0555 0.7605
80 0.309 0.0695 0.6215
81 0.2495 0.0645 0.686
82 0.2865 0.2455 0.468
83 0.414 0.038 0.548
84 0.3375 0.0255 0.637
