64       22822.75  90.54    84.14     104.77
128      11317.84  63.4     39.66      60.62
256      5646.4    38.4     18.81      35.64
512      2914.51   8.7      7.79       11.43
1024     1490.21   35.07    4.31       32.24
2048     783.54    59.19    1.96       48.75
