Name "Align time" "Idle time" "I/O time" "Comm. time" "Align time"  "Idle time" "A2A overhead"
64       23565.34  8.37      6563.11     23.04         22822.75       90.54        84.14
128      11758.90  5.87      2957.97     12.27         11317.84       63.4         39.66
256      5876.16   2.94      1429.53     6.04          5646.4         38.4         18.81
512      3001.08   4.81      556.85      2.99          2914.51         8.7          7.79
1024     1583.74   0.81      306.52      1.55          1490.21        35.07         4.31
2048     895.66    0.38      157.72      0.86          783.54         59.19         1.96
